library;ref;type;enzyme
Hum17a_proxi;Hum17;hic;Sau3AI,MluCI
Hum17a_SG;Hum17;sg;-
Hum18a_proxi;Hum18;hic;Sau3AI,MluCI
Hum18a_SG;Hum18;sg;-
Hum19a_proxi;Hum19;hic;Sau3AI,MluCI
Hum19a_SG;Hum19;sg;-
Hum20a_proxi;Hum20;hic;Sau3AI,MluCI
Hum20a_SG;Hum20;sg;-
Hum22a_proxi;Hum22;hic;Sau3AI,MluCI
Hum22a_SG;Hum22;sg;-
Hum23a_proxi;Hum23;hic;Sau3AI,MluCI
Hum23a_SG;Hum23;sg;-
Hum25a_proxi;Hum25;hic;Sau3AI,MluCI
Hum25a_SG;Hum25;sg;-
Hum26a_proxi;Hum26;hic;Sau3AI,MluCI
Hum26a_SG;Hum26;sg;-
Hum27a_proxi;Hum27;hic;Sau3AI,MluCI
Hum27a_SG;Hum27;sg;-
Hum28a_proxi;Hum28;hic;Sau3AI,MluCI
Hum28a_SG;Hum28;sg;-
Hum29a_proxi;Hum29;hic;Sau3AI,MluCI
Hum29a_SG;Hum29;sg;-
Hum30a_proxi;Hum30;hic;Sau3AI,MluCI
Hum30a_SG;Hum30;sg;-
Hum31a_proxi;Hum31;hic;Sau3AI,MluCI
Hum31a_SG;Hum31;sg;-
